CaseID,FilingDate,CrimeType,Location,Description,PriorityLabel
CR-2020-10026,2023-05-14,Vandalism,Downtown,Property damaged by graffiti depicting gang symbols. Estimated repair cost: $1863.,0
CR-2021-10027,2024-08-27,Drug Offense,North District,Suspect found in possession of heroin during routine traffic stop.,0
CR-2021-10028,2023-08-14,Theft,South District,Victim's identity documents was taken while they were shopping. No suspects identified.,0
CR-2020-10029,2023-10-09,Theft,Downtown,Victim reported identity documents stolen from sidewalk. No witnesses present.,0
CR-2020-10030,2023-11-15,Drug Offense,North District,Suspect found in possession of methamphetamine during routine traffic stop.,0
CR-2022-10031,2024-01-22,Assault,North District,Physical altercation between victim and known suspect resulted in defensive wounds on hands.,1
CR-2021-10032,2022-10-23,Theft,North District,Suspect took victim's identity documents when victim was not looking at public restroom.,0
CR-2018-10033,2024-01-04,Burglary,North District,Suspect broke into residence via garage door and took personal documents and valuables. No witnesses.,0
CR-2020-10034,2024-01-25,Assault,West District,Physical altercation between victim and known suspect resulted in facial bruising.,1
CR-2019-10035,2024-02-29,Theft,Downtown,Victim's wallet was taken while they were commuting. No suspects identified.,0
CR-2018-10036,2023-07-02,Other,North District,Trespassing incident at closed business premises after hours.,0
CR-2019-10037,2024-11-23,Theft,East District,Victim reported laptop stolen from park bench. No witnesses present.,0
CR-2019-10038,2022-11-22,Theft,North District,Victim reported credit cards stolen from public restroom. No witnesses present.,0
CR-2018-10039,2023-05-06,Theft,Downtown,Suspect took victim's credit cards when victim was not looking at office.,0
CR-2021-10040,2024-04-15,Other,North District,Trespassing incident at closed business premises after hours.,0
CR-2021-10041,2022-11-05,Burglary,North District,Business broken into overnight. basement window showed signs of forced entry. electronics and cash reported missing.,0
CR-2022-10042,2024-09-16,Other,South District,Noise complaint escalated requiring police intervention at residential property.,0
CR-2018-10043,2022-10-20,Theft,Downtown,Victim's jewelry was taken while they were talking with others. No suspects identified.,0
CR-2021-10044,2024-05-19,Drug Offense,Downtown,Suspect found in possession of cocaine during routine traffic stop.,0
CR-2020-10045,2022-09-10,Burglary,Downtown,Forced entry through balcony door. electronics and jewelry were stolen. No alarm system triggered.,0
CR-2018-10046,2024-10-31,Burglary,East District,Suspect broke into residence via basement window and took electronics and jewelry. No witnesses.,1
CR-2018-10047,2023-08-02,Theft,East District,Victim reported wallet stolen from bus stop. No witnesses present.,0
CR-2019-10048,2023-01-04,Drug Offense,Central Park,Suspect found in possession of hallucinogens during routine traffic stop.,0
CR-2018-10049,2024-09-13,Theft,Downtown,Victim reported identity documents stolen from bus stop. No witnesses present.,0
CR-2021-10050,2023-07-13,Kidnapping,West District,"Brief abduction during carjacking incident, victim released unharmed.",1
CR-2018-10051,2024-07-10,Harassment,Industrial Area,Suspect repeatedly made unwanted contact with victim at their workplace.,0
CR-2018-10052,2024-01-04,Theft,Downtown,Suspect took victim's purse when victim was not looking at public restroom.,0
CR-2021-10053,2022-12-26,Theft,Downtown,Unknown suspect stole cash from victim's gym. No surveillance footage available.,0
CR-2020-10054,2022-09-16,Theft,Downtown,Victim reported purse stolen from parking lot. No witnesses present.,0
CR-2019-10055,2024-07-16,Assault,Transit Station,Unprovoked attack by unknown suspect left victim with lacerations requiring stitches. Witnesses described suspect as medium-built female with distinctive tattoos.,1
CR-2021-10056,2022-09-24,Theft,South District,Suspect took victim's identity documents when victim was not looking at library.,0
CR-2021-10057,2023-05-22,Burglary,East District,Business broken into overnight. garage door showed signs of forced entry. personal documents and valuables reported missing.,0
CR-2020-10058,2023-07-30,Burglary,North District,Business broken into overnight. basement window showed signs of forced entry. electronics and jewelry reported missing.,0
CR-2022-10059,2023-10-31,Homicide,West District,Victim discovered deceased in public restroom with suspicious circumstances.,1
CR-2019-10060,2024-06-22,Drug Offense,West District,Suspect found in possession of synthetic drugs during routine traffic stop.,0
CR-2018-10061,2023-07-13,Theft,South District,Victim reported purse stolen from bus stop. No witnesses present.,0
CR-2021-10062,2023-10-15,Vandalism,Downtown,Business storefront windows broken with spray paint. Surveillance camera captured incident.,0
CR-2021-10063,2022-09-21,Other,Shopping Mall,Violation of restraining order when suspect approached protected person.,0
CR-2020-10064,2025-03-12,Other,South District,Violation of restraining order when suspect approached protected person.,0
CR-2022-10065,2023-12-14,Other,Industrial Area,Violation of restraining order when suspect approached protected person.,0
CR-2022-10066,2024-12-22,Theft,North District,Victim's identity documents was taken while they were working. No suspects identified.,0
CR-2020-10067,2022-08-22,Burglary,South District,Suspect broke into residence via side entrance and took cash and electronics. No witnesses.,0
CR-2019-10068,2024-03-02,Theft,East District,Victim reported vehicle stolen from office. No witnesses present.,0
CR-2019-10069,2022-09-18,Burglary,North District,Home invasion occurred while residents were away. rear window was damaged. electronics and jewelry missing.,0
CR-2018-10070,2022-12-18,Burglary,North District,Business broken into overnight. garage door showed signs of forced entry. electronics and jewelry reported missing.,0
CR-2019-10071,2024-10-23,Fraud,Downtown,Victim reported unauthorized transactions totaling $2500 on their credit card.,1
CR-2018-10072,2022-05-22,Robbery,West District,"Armed suspect demanded money from store clerk, escaped with $1432.",0
CR-2021-10073,2023-07-31,Theft,East District,Suspect took victim's vehicle when victim was not looking at park bench.,0
CR-2020-10074,2023-11-12,Other,Industrial Area,"Suspicious activity reported near gym, investigation ongoing.",0
CR-2019-10075,2023-02-15,Theft,Industrial Area,Unknown suspect stole bicycle from victim's bus stop. No surveillance footage available.,0
CR-2020-10076,2023-07-04,Burglary,Industrial Area,Suspect broke into residence via side entrance and took artwork and antiques. No witnesses.,0
CR-2021-10077,2025-01-14,Other,South District,Noise complaint escalated requiring police intervention at residential property.,0
CR-2022-10078,2025-01-02,Fraud,East District,"Business reported accounting discrepancies amounting to $10000, suspected internal fraud.",1
CR-2021-10079,2024-02-01,Other,East District,"Suspicious activity reported near library, investigation ongoing.",0
CR-2020-10080,2024-02-02,Burglary,South District,Forced entry through front door. electronics and cash were stolen. No alarm system triggered.,0
CR-2019-10081,2024-04-26,Theft,Downtown,Suspect took victim's identity documents when victim was not looking at sidewalk.,0
CR-2018-10082,2025-01-23,Theft,Shopping Mall,Unknown suspect stole purse from victim's bus stop. No surveillance footage available.,0
CR-2019-10083,2023-10-28,Theft,Shopping Mall,Unknown suspect stole phone from victim's library. No surveillance footage available.,0
CR-2018-10084,2024-03-20,Fraud,East District,Victim reported unauthorized transactions totaling $50000 on their credit card.,0
CR-2020-10085,2022-09-17,Burglary,Central Park,Forced entry through garage door. personal documents and valuables were stolen. No alarm system triggered.,0
CR-2018-10086,2025-04-13,Theft,North District,Victim reported purse stolen from office. No witnesses present.,0
CR-2021-10087,2023-07-13,Assault,Downtown,Unprovoked attack by unknown suspect left victim with minor cuts and bruises. Witnesses described suspect as medium-built female with distinctive tattoos.,1
CR-2022-10088,2023-10-19,Burglary,South District,Home invasion occurred while residents were away. basement window was damaged. jewelry and watches missing.,0
CR-2022-10089,2022-05-09,Theft,University Campus,Unknown suspect stole identity documents from victim's library. No surveillance footage available.,0
CR-2021-10090,2024-06-26,Burglary,Downtown,Forced entry through front door. jewelry and watches were stolen. No alarm system triggered.,1
CR-2020-10091,2023-07-02,Assault,East District,Domestic dispute escalated to physical violence resulting in minor cuts and bruises to victim.,1
CR-2022-10092,2023-09-14,Fraud,University Campus,Victim was deceived into transferring $2500 to fraudulent investment scheme.,0
CR-2019-10093,2023-08-26,Harassment,West District,Suspect repeatedly made unwanted contact with victim at their workplace.,0
CR-2021-10094,2024-03-06,Fraud,Downtown,Victim reported unauthorized transactions totaling $1200 on their credit card.,0
CR-2022-10095,2024-03-07,Robbery,West District,Victim was approached by 1 suspects who took jewelry by force.,1
CR-2018-10096,2025-03-18,Theft,Downtown,Victim's phone was taken while they were exercising. No suspects identified.,0
CR-2019-10097,2023-08-28,Fraud,North District,Victim was deceived into transferring $500 to fraudulent investment scheme.,0
CR-2019-10098,2024-05-31,Burglary,West District,Suspect broke into residence via basement window and took jewelry and watches. No witnesses.,1
CR-2019-10099,2022-08-09,Burglary,Downtown,Forced entry through balcony door. electronics and cash were stolen. No alarm system triggered.,0
CR-2022-10100,2023-06-03,Theft,South District,Victim's vehicle was taken while they were walking. No suspects identified.,0
CR-2022-10101,2024-05-16,Fraud,South District,"Suspect used victim's identity to open rental accounts, causing financial damage of $2500.",0
CR-2020-10102,2024-12-19,Burglary,East District,Forced entry through garage door. jewelry and watches were stolen. No alarm system triggered.,1
CR-2022-10103,2023-01-20,Vandalism,Downtown,"Public playground equipment was destroyed, causing $1742 in damages. No witnesses.",0
CR-2018-10104,2022-06-17,Assault,South District,Domestic dispute escalated to physical violence resulting in facial bruising to victim.,0
CR-2022-10105,2024-03-15,Theft,Downtown,Suspect took victim's credit cards when victim was not looking at store.,0
CR-2022-10106,2022-07-01,Burglary,University Campus,Suspect broke into residence via basement window and took electronics and jewelry. No witnesses.,0
CR-2021-10107,2024-08-14,Assault,Downtown,Physical altercation between victim and known suspect resulted in black eye.,1
CR-2022-10108,2023-05-17,Burglary,West District,Forced entry through side entrance. personal documents and valuables were stolen. No alarm system triggered.,0
CR-2021-10109,2023-11-06,Theft,Shopping Mall,Victim's identity documents was taken while they were shopping. No suspects identified.,0
CR-2019-10110,2024-11-06,Other,Downtown,"Suspicious activity reported near sidewalk, investigation ongoing.",0
CR-2020-10111,2024-04-18,Burglary,Downtown,Suspect broke into residence via side entrance and took electronics and jewelry. No witnesses.,1
CR-2021-10112,2025-02-12,Vandalism,East District,Property damaged by graffiti depicting racial slurs. Estimated repair cost: $989.,0
CR-2022-10113,2022-10-03,Burglary,Shopping Mall,Business broken into overnight. basement window showed signs of forced entry. personal documents and valuables reported missing.,0
CR-2019-10114,2022-05-15,Theft,Transit Station,Victim reported cash stolen from parking lot. No witnesses present.,0
CR-2022-10115,2023-08-29,Theft,Shopping Mall,Unknown suspect stole cash from victim's public restroom. No surveillance footage available.,0
CR-2022-10116,2025-04-14,Vandalism,South District,"Public street sign was destroyed, causing $1836 in damages. No witnesses.",0
CR-2021-10117,2022-09-30,Assault,Shopping Mall,Unprovoked attack by unknown suspect left victim with black eye. Witnesses described suspect as person wearing mask and gloves.,0
CR-2020-10118,2022-10-06,Theft,South District,Suspect took victim's laptop when victim was not looking at gym.,0
CR-2019-10119,2023-08-05,Vandalism,Industrial Area,Vehicle's mirrors was deliberately damaged while parked at gym.,0
CR-2018-10120,2023-05-08,Fraud,University Campus,Victim was deceived into transferring $5000 to fraudulent investment scheme.,0
CR-2021-10121,2024-07-18,Fraud,South District,Victim was deceived into transferring $25000 to fraudulent investment scheme.,1
CR-2019-10122,2024-03-01,Other,Downtown,Violation of restraining order when suspect approached protected person.,0
CR-2022-10123,2022-07-05,Fraud,Transit Station,"Business reported accounting discrepancies amounting to $2500, suspected internal fraud.",0
CR-2022-10124,2022-06-02,Drug Offense,West District,Suspect observed selling prescription pills near park bench.,0
CR-2018-10125,2024-02-01,Vandalism,Shopping Mall,"Public bus shelter was destroyed, causing $1776 in damages. No witnesses.",0
CR-2019-10126,2024-04-21,Theft,South District,Suspect took victim's wallet when victim was not looking at parking lot.,0
CR-2021-10127,2023-04-24,Burglary,Downtown,Business broken into overnight. front door showed signs of forced entry. artwork and antiques reported missing.,0
CR-2019-10128,2024-03-14,Theft,North District,Victim's vehicle was taken while they were distracted by phone. No suspects identified.,0
CR-2022-10129,2022-05-27,Burglary,South District,Business broken into overnight. skylight showed signs of forced entry. cash and electronics reported missing.,0
CR-2018-10130,2024-10-31,Assault,East District,Physical altercation between victim and known suspect resulted in facial bruising.,1
CR-2022-10131,2024-10-11,Other,Industrial Area,Noise complaint escalated requiring police intervention at residential property.,0
CR-2019-10132,2024-09-15,Vandalism,East District,Business storefront windows broken with spray paint. Surveillance camera captured incident.,0
CR-2019-10133,2022-04-26,Other,Industrial Area,Violation of restraining order when suspect approached protected person.,0
CR-2022-10134,2025-02-08,Theft,South District,Unknown suspect stole credit cards from victim's park bench. No surveillance footage available.,0
CR-2018-10135,2022-09-09,Other,Downtown,Violation of restraining order when suspect approached protected person.,0
CR-2022-10136,2022-06-18,Burglary,Industrial Area,Business broken into overnight. pet door showed signs of forced entry. personal documents and valuables reported missing.,0
CR-2018-10137,2022-07-30,Assault,North District,Physical altercation between victim and known suspect resulted in minor cuts and bruises.,0
CR-2021-10138,2024-03-25,Other,Transit Station,Noise complaint escalated requiring police intervention at residential property.,0
CR-2022-10139,2025-02-26,Vandalism,University Campus,Business storefront windows broken with skateboard. Surveillance camera captured incident.,0
CR-2019-10140,2022-07-08,Theft,South District,Unknown suspect stole identity documents from victim's public restroom. No surveillance footage available.,0
CR-2018-10141,2022-06-06,Burglary,North District,Suspect broke into residence via basement window and took artwork and antiques. No witnesses.,0
CR-2018-10142,2024-09-13,Vandalism,Downtown,Vehicle's tires was deliberately damaged while parked at gym.,0
CR-2019-10143,2022-12-22,Fraud,Central Park,"Business reported accounting discrepancies amounting to $15000, suspected internal fraud.",0
CR-2020-10144,2023-01-09,Robbery,University Campus,Victim was approached by 2 suspects who took cash by force.,1
CR-2020-10145,2023-05-22,Theft,Downtown,Victim's credit cards was taken while they were commuting. No suspects identified.,0
CR-2022-10146,2024-08-16,Drug Offense,Central Park,Suspect observed selling hallucinogens near gym.,0
CR-2021-10147,2024-04-23,Burglary,East District,Business broken into overnight. basement window showed signs of forced entry. artwork and antiques reported missing.,1
CR-2020-10148,2023-06-25,Kidnapping,North District,Victim forced into vehicle by 2 unknown suspects at gym.,1
CR-2018-10149,2024-12-25,Other,North District,Violation of restraining order when suspect approached protected person.,0
CR-2019-10150,2022-07-06,Other,Downtown,Violation of restraining order when suspect approached protected person.,0
CR-2018-10151,2024-06-09,Burglary,South District,Business broken into overnight. garage door showed signs of forced entry. artwork and antiques reported missing.,1
CR-2019-10152,2022-06-08,Burglary,North District,Suspect broke into residence via rear window and took artwork and antiques. No witnesses.,0
CR-2020-10153,2022-08-05,Theft,Downtown,Victim reported purse stolen from gym. No witnesses present.,0
CR-2020-10154,2024-10-02,Theft,North District,Victim's phone was taken while they were exercising. No suspects identified.,0
CR-2020-10155,2024-02-12,Drug Offense,Downtown,Search warrant execution revealed methamphetamine and paraphernalia in suspect's residence.,0
CR-2019-10156,2025-03-26,Theft,Downtown,Victim's jewelry was taken while they were distracted by phone. No suspects identified.,0
CR-2021-10157,2024-02-27,Theft,Downtown,Unknown suspect stole cash from victim's sidewalk. No surveillance footage available.,0
CR-2018-10158,2024-01-21,Assault,North District,Domestic dispute escalated to physical violence resulting in facial bruising to victim.,1
CR-2019-10159,2024-06-18,Robbery,West District,Suspect threatened victim with handgun before taking purse.,1
CR-2020-10160,2024-07-25,Burglary,Downtown,Forced entry through basement window. cash and electronics were stolen. No alarm system triggered.,1
CR-2021-10161,2022-04-24,Vandalism,Downtown,Property damaged by graffiti depicting racial slurs. Estimated repair cost: $412.,0
CR-2019-10162,2022-05-14,Burglary,South District,Suspect broke into residence via pet door and took jewelry and watches. No witnesses.,0
CR-2022-10163,2024-02-11,Theft,North District,Unknown suspect stole jewelry from victim's restaurant. No surveillance footage available.,0
CR-2020-10164,2024-10-21,Assault,East District,Physical altercation between victim and known suspect resulted in minor cuts and bruises.,1
CR-2022-10165,2024-06-30,Fraud,North District,Victim reported unauthorized transactions totaling $7500 on their credit card.,1
CR-2018-10166,2023-08-14,Theft,East District,Victim's laptop was taken while they were walking. No suspects identified.,0
CR-2018-10167,2022-07-11,Burglary,Downtown,Forced entry through side entrance. jewelry and watches were stolen. No alarm system triggered.,0
CR-2018-10168,2022-05-11,Drug Offense,Central Park,Suspect found in possession of hallucinogens during routine traffic stop.,0
CR-2022-10169,2022-08-05,Fraud,West District,Victim reported unauthorized transactions totaling $10000 on their credit card.,0
CR-2018-10170,2024-05-03,Theft,North District,Unknown suspect stole purse from victim's office. No surveillance footage available.,0
CR-2021-10171,2023-02-25,Other,East District,"Suspicious activity reported near gym, investigation ongoing.",0
CR-2018-10172,2024-02-07,Theft,South District,Victim's purse was taken while they were commuting. No suspects identified.,0
CR-2021-10173,2024-08-06,Theft,Central Park,Victim's phone was taken while they were working. No suspects identified.,0
CR-2018-10174,2024-05-14,Theft,Downtown,Unknown suspect stole vehicle from victim's office. No surveillance footage available.,0
CR-2022-10175,2023-10-16,Other,Shopping Mall,Violation of restraining order when suspect approached protected person.,0
CR-2021-10176,2022-06-30,Harassment,Central Park,Victim reported ongoing harassment by neighbor including noise disturbances.,0
CR-2018-10177,2023-09-02,Vandalism,Industrial Area,Business storefront windows broken with skateboard. Surveillance camera captured incident.,0
CR-2019-10178,2024-08-10,Fraud,South District,Victim reported unauthorized transactions totaling $25000 on their credit card.,1
CR-2022-10179,2023-03-08,Other,West District,Noise complaint escalated requiring police intervention at residential property.,0
CR-2021-10180,2022-11-27,Vandalism,East District,Vehicle's mirrors was deliberately damaged while parked at store.,0
CR-2018-10181,2022-07-15,Vandalism,Downtown,Property damaged by graffiti depicting racial slurs. Estimated repair cost: $491.,0
CR-2020-10182,2024-08-08,Fraud,Downtown,"Suspect used victim's identity to open investment accounts, causing financial damage of $25000.",1
CR-2019-10183,2022-04-26,Fraud,East District,"Business reported accounting discrepancies amounting to $500, suspected internal fraud.",0
CR-2019-10184,2022-04-29,Drug Offense,Downtown,Suspect observed selling cocaine near gym.,0
CR-2022-10185,2023-03-11,Vandalism,East District,Vehicle's paint was deliberately damaged while parked at library.,0
CR-2020-10186,2023-02-28,Vandalism,South District,"Public street sign was destroyed, causing $1539 in damages. No witnesses.",0
CR-2022-10187,2023-04-27,Other,North District,Noise complaint escalated requiring police intervention at residential property.,0
CR-2020-10188,2023-09-11,Vandalism,East District,Vehicle's hood was deliberately damaged while parked at bus stop.,0
CR-2022-10189,2024-09-05,Vandalism,Central Park,"Public bus shelter was destroyed, causing $1307 in damages. No witnesses.",0
CR-2020-10190,2024-04-10,Theft,North District,Suspect took victim's jewelry when victim was not looking at restaurant.,0
CR-2019-10191,2023-11-11,Burglary,Industrial Area,Forced entry through garage door. personal documents and valuables were stolen. No alarm system triggered.,0
CR-2018-10192,2023-05-23,Robbery,South District,"Armed suspect demanded money from store clerk, escaped with $161.",1
CR-2020-10193,2023-06-12,Fraud,South District,"Business reported accounting discrepancies amounting to $1200, suspected internal fraud.",0
CR-2018-10194,2024-02-10,Burglary,South District,Home invasion occurred while residents were away. pet door was damaged. artwork and antiques missing.,0
CR-2019-10195,2024-07-15,Kidnapping,West District,"Brief abduction during carjacking incident, victim released unharmed.",1
CR-2020-10196,2022-10-31,Other,West District,"Suspicious activity reported near sidewalk, investigation ongoing.",0
CR-2019-10197,2025-02-18,Harassment,South District,Online harassment campaign targeted victim with threats of violence.,1
CR-2020-10198,2023-06-10,Other,Central Park,"Suspicious activity reported near park bench, investigation ongoing.",0
CR-2022-10199,2025-01-07,Robbery,Downtown,"Armed suspect demanded money from store clerk, escaped with $360.",1
CR-2021-10200,2023-12-05,Vandalism,South District,Property damaged by graffiti depicting political messages. Estimated repair cost: $342.,0
CR-2019-10201,2024-08-28,Theft,East District,Victim's credit cards was taken while they were distracted by phone. No suspects identified.,0
CR-2021-10202,2022-11-18,Fraud,East District,Victim was deceived into transferring $100000 to fraudulent investment scheme.,0
CR-2022-10203,2022-06-02,Assault,Central Park,Victim sustained concussion after altercation with suspect at bus stop.,0
CR-2020-10204,2022-07-20,Fraud,East District,Victim reported unauthorized transactions totaling $2500 on their credit card.,0
CR-2019-10205,2022-06-24,Robbery,University Campus,Victim was approached by 1 suspects who took phone by force.,0
CR-2019-10206,2023-02-12,Fraud,Shopping Mall,"Business reported accounting discrepancies amounting to $25000, suspected internal fraud.",0
CR-2019-10207,2024-12-26,Burglary,West District,Home invasion occurred while residents were away. rear window was damaged. cash and electronics missing.,1
CR-2020-10208,2025-01-14,Fraud,West District,Victim was deceived into transferring $7500 to fraudulent investment scheme.,1
CR-2022-10209,2022-08-21,Theft,East District,Victim reported laptop stolen from sidewalk. No witnesses present.,0
CR-2019-10210,2025-01-24,Theft,Downtown,Victim's purse was taken while they were walking. No suspects identified.,0
CR-2018-10211,2024-06-03,Assault,Downtown,Physical altercation between victim and known suspect resulted in minor cuts and bruises.,1
CR-2022-10212,2023-06-10,Theft,Shopping Mall,Victim reported phone stolen from sidewalk. No witnesses present.,0
CR-2020-10213,2024-11-07,Fraud,South District,"Business reported accounting discrepancies amounting to $1200, suspected internal fraud.",1
CR-2022-10214,2022-11-04,Robbery,Downtown,Suspect threatened victim with implied weapon in pocket before taking bicycle.,1
CR-2018-10215,2023-11-12,Assault,Industrial Area,Domestic dispute escalated to physical violence resulting in lacerations requiring stitches to victim.,1
CR-2019-10216,2023-08-04,Vandalism,South District,Business storefront windows broken with hammer. Surveillance camera captured incident.,0
CR-2020-10217,2024-11-26,Assault,Downtown,Victim sustained minor cuts and bruises after altercation with suspect at park bench.,1
CR-2018-10218,2024-03-26,Theft,North District,Suspect took victim's credit cards when victim was not looking at office.,0
CR-2022-10219,2022-06-18,Burglary,North District,Home invasion occurred while residents were away. garage door was damaged. electronics and cash missing.,0
CR-2019-10220,2025-03-24,Theft,University Campus,Victim's credit cards was taken while they were talking with others. No suspects identified.,0
CR-2018-10221,2022-09-11,Assault,Downtown,Unprovoked attack by unknown suspect left victim with black eye. Witnesses described suspect as young male in hooded sweatshirt.,0
CR-2022-10222,2023-10-29,Burglary,North District,Forced entry through garage door. personal documents and valuables were stolen. No alarm system triggered.,0
CR-2020-10223,2024-11-23,Homicide,North District,Victim discovered deceased in library with suspicious circumstances.,1
CR-2022-10224,2023-06-19,Burglary,Industrial Area,Home invasion occurred while residents were away. skylight was damaged. electronics and cash missing.,0
CR-2020-10225,2022-05-04,Burglary,West District,Forced entry through pet door. electronics and jewelry were stolen. No alarm system triggered.,0
CR-2019-10226,2022-10-27,Fraud,South District,Victim was deceived into transferring $7500 to fraudulent investment scheme.,0
CR-2020-10227,2024-07-25,Theft,North District,Victim reported cash stolen from office. No witnesses present.,0
CR-2020-10228,2024-06-24,Burglary,Shopping Mall,Business broken into overnight. skylight showed signs of forced entry. electronics and jewelry reported missing.,1
CR-2019-10229,2022-07-12,Other,Industrial Area,Noise complaint escalated requiring police intervention at residential property.,0
CR-2022-10230,2025-02-11,Theft,North District,Unknown suspect stole vehicle from victim's library. No surveillance footage available.,0
CR-2020-10231,2023-03-10,Theft,Central Park,Victim reported laptop stolen from sidewalk. No witnesses present.,0
CR-2020-10232,2025-03-26,Drug Offense,North District,Suspect observed selling heroin near library.,0
CR-2019-10233,2022-07-21,Other,East District,"Suspicious activity reported near parking lot, investigation ongoing.",0
CR-2020-10234,2023-07-12,Other,Downtown,Noise complaint escalated requiring police intervention at residential property.,0
CR-2019-10235,2022-04-23,Drug Offense,West District,Suspect observed selling prescription pills near parking lot.,0
CR-2022-10236,2022-09-10,Theft,Industrial Area,Victim's purse was taken while they were dining. No suspects identified.,0
CR-2022-10237,2024-03-16,Vandalism,Shopping Mall,Business storefront windows broken with crowbar. Surveillance camera captured incident.,0
CR-2022-10238,2024-05-01,Robbery,South District,"Bank robbery involving suspect with pepper spray, escaped with undisclosed amount.",1
CR-2021-10239,2023-01-02,Burglary,Central Park,Business broken into overnight. garage door showed signs of forced entry. artwork and antiques reported missing.,0
CR-2018-10240,2025-03-28,Burglary,University Campus,Suspect broke into residence via garage door and took electronics and jewelry. No witnesses.,1
CR-2021-10241,2023-11-30,Harassment,South District,Victim reported ongoing harassment by neighbor including false complaints to authorities.,0
CR-2018-10242,2023-09-24,Vandalism,West District,Property damaged by graffiti depicting obscene images. Estimated repair cost: $1586.,0
CR-2018-10243,2023-08-23,Other,East District,Violation of restraining order when suspect approached protected person.,0
CR-2022-10244,2023-12-17,Burglary,Downtown,Business broken into overnight. balcony door showed signs of forced entry. personal documents and valuables reported missing.,0
CR-2019-10245,2022-08-22,Theft,East District,Victim's credit cards was taken while they were walking. No suspects identified.,0
CR-2019-10246,2025-02-20,Assault,South District,Physical altercation between victim and known suspect resulted in black eye.,1
CR-2021-10247,2023-03-24,Theft,Shopping Mall,Victim reported jewelry stolen from library. No witnesses present.,0
CR-2020-10248,2022-10-01,Burglary,West District,Business broken into overnight. garage door showed signs of forced entry. artwork and antiques reported missing.,0
CR-2022-10249,2023-07-15,Fraud,Industrial Area,Victim reported unauthorized transactions totaling $2500 on their credit card.,0
CR-2022-10250,2024-03-18,Assault,Downtown,Victim sustained defensive wounds on hands after altercation with suspect at public restroom.,1
CR-2021-10251,2024-07-13,Theft,Central Park,Victim's wallet was taken while they were distracted by phone. No suspects identified.,0
CR-2022-10252,2022-09-12,Harassment,South District,Suspect repeatedly made unwanted contact with victim at their workplace.,0
CR-2021-10253,2022-10-20,Burglary,East District,Business broken into overnight. front door showed signs of forced entry. personal documents and valuables reported missing.,0
CR-2019-10254,2022-06-10,Drug Offense,Shopping Mall,Search warrant execution revealed methamphetamine and paraphernalia in suspect's residence.,0
